threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.83,56,4,15,3238.8,200.0,3438.8,0.9333333333333333,0.7887323943661971,0.0014098075612678869
0.84,56,4,15,3238.8,200.0,3438.8,0.9333333333333333,0.7887323943661971,0.0014098075612678869
0.85,56,4,15,3238.8,200.0,3438.8,0.9333333333333333,0.7887323943661971,0.0014098075612678869
0.86,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.87,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.88,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.89,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.9,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.91,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.92,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.93,55,4,16,3251.11,200.0,3451.11,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.94,53,4,18,4221.9,200.0,4421.9,0.9298245614035088,0.7464788732394366,0.0013393171832044926
0.95,53,4,18,4221.9,200.0,4421.9,0.9298245614035088,0.7464788732394366,0.0013393171832044926
0.96,53,3,18,4221.9,150.0,4371.9,0.9464285714285714,0.7464788732394366,0.0013158203905166944
0.97,52,3,19,4222.66,150.0,4372.66,0.9454545454545454,0.7323943661971831,0.0012923235978288964
0.98,52,3,19,4222.66,150.0,4372.66,0.9454545454545454,0.7323943661971831,0.0012923235978288964
0.99,51,3,20,4223.66,150.0,4373.66,0.9444444444444444,0.7183098591549296,0.0012688268051410981
