threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.9,677,102,732,64880.440066935495,5100.0,69980.4400669355,0.8690629011553274,0.4804826117814053,0.000970902827458478
0.91,649,85,760,67190.63008290343,4250.0,71440.63008290343,0.8841961852861036,0.46061036195883603,0.0009148172982728149
0.92,617,75,792,69906.92007270269,3750.0,73656.92007270269,0.8916184971098265,0.43789921930447123,0.0008624708043661961
0.93,576,62,833,75071.56011095457,3100.0,78171.56011095457,0.9028213166144201,0.4088005677785664,0.0007951681693434005
0.94,530,46,879,79011.49006768875,2300.0,81311.49006768875,0.9201388888888888,0.376153300212917,0.000717894773576487
0.95,472,35,937,85688.58009519987,1750.0,87438.58009519987,0.9309664694280079,0.33498935415188075,0.0006318969621584703
0.96,395,27,1014,92466.09013765864,1350.0,93816.09013765864,0.9360189573459715,0.2803406671398155,0.0005259576292522179
0.97,313,16,1096,101213.62025126629,800.0,102013.62025126629,0.9513677811550152,0.22214336408800567,0.00041004753560184757
0.98,225,8,1184,111140.53020297177,400.0,111540.53020297177,0.9656652360515021,0.1596877217885025,0.00029039840667243307
0.99,118,2,1291,123752.4602033943,100.0,123852.4602033943,0.9833333333333333,0.08374733853797019,0.0001495614111617681
