threshold,tp,fp,fn,fn_cost,fp_cost,total_cost,precision,recall,block_rate
0.7,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.71,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.72,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.73,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.74,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.75,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.76,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.77,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.78,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.79,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.8,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.81,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.82,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.83,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.84,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.85,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.86,55,5,16,3478.73,250.0,3728.73,0.9166666666666666,0.7746478873239436,0.0014098075612678869
0.87,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.88,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.89,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.9,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.91,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.92,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.93,55,4,16,3478.73,200.0,3678.73,0.9322033898305084,0.7746478873239436,0.0013863107685800889
0.94,54,4,17,3479.4900000000002,200.0,3679.4900000000002,0.9310344827586207,0.7605633802816901,0.0013628139758922906
0.95,54,4,17,3479.4900000000002,200.0,3679.4900000000002,0.9310344827586207,0.7605633802816901,0.0013628139758922906
0.96,54,4,17,3479.4900000000002,200.0,3679.4900000000002,0.9310344827586207,0.7605633802816901,0.0013628139758922906
0.97,54,4,17,3479.4900000000002,200.0,3679.4900000000002,0.9310344827586207,0.7605633802816901,0.0013628139758922906
0.98,54,3,17,3479.4900000000002,150.0,3629.4900000000002,0.9473684210526315,0.7605633802816901,0.0013393171832044926
0.99,53,3,18,3480.49,150.0,3630.49,0.9464285714285714,0.7464788732394366,0.0013158203905166944
